,open_datetime,open_price,order_type,volume,sl,tp,close_datetime,close_price,profit,status,pnl
69,12/2/2022 8:00,1799.16,Buy,100,1799.19,1799.19,12/2/2022 8:00,1799.19,2.9999999999972715,closed,39642.000000000044
70,12/2/2022 15:30,1783.67,emaSell,100,1790.5,1790.5,12/2/2022 15:30,1790.5,-682.9999999999927,closed,38959.000000000044
71,12/2/2022 17:15,1782.29,emaSell,100,1790.5,1790.5,12/2/2022 17:15,1790.5,-821.0000000000036,closed,38138.000000000044
72,12/2/2022 18:45,1795.57,Buy,100,1807.49,1807.49,12/2/2022 18:45,1807.49,1192.0000000000073,closed,39330.00000000005
73,12/2/2022 21:15,1795.21,Buy,100,1807.49,1807.49,12/2/2022 21:15,1807.49,1227.9999999999973,closed,40558.000000000044
74,12/5/2022 15:30,1793.29,emaSell,100,1769.36,1769.36,12/5/2022 15:30,1769.36,2393.0000000000064,closed,42951.00000000006
75,12/6/2022 7:30,1769.31,Sell,100,1772.66,1772.66,12/6/2022 7:30,1772.66,-335.00000000001364,closed,42616.000000000044
76,12/9/2022 12:00,1793.89,Buy,100,1801.46,1801.46,12/9/2022 12:00,1801.46,756.9999999999936,closed,43373.00000000003
77,12/9/2022 18:15,1802.62,Buy,100,1798.55,1798.55,12/9/2022 18:15,1798.55,-406.99999999999363,closed,42966.000000000044
78,12/12/2022 3:00,1791.32,emaSell,100,1787.64,1787.64,12/12/2022 3:00,1787.64,367.99999999998363,closed,43334.00000000002
79,12/12/2022 3:30,1791.34,emaSell,100,1787.64,1787.64,12/12/2022 3:30,1787.64,369.9999999999818,closed,43704.0
80,12/12/2022 9:45,1791.3,Buy,100,1793.64,1793.64,12/12/2022 9:45,1793.64,234.00000000001455,closed,43938.000000000015
81,12/12/2022 11:00,1791.06,emaBuy,100,1793.64,1793.64,12/12/2022 11:00,1793.64,258.00000000001546,closed,44196.00000000003
82,12/12/2022 11:30,1791.67,emaBuy,100,1793.64,1793.64,12/12/2022 11:30,1793.64,197.00000000000273,closed,44393.00000000004
83,12/12/2022 14:45,1789.39,Sell,100,1782.08,1782.08,12/12/2022 14:45,1782.08,731.0000000000173,closed,45124.00000000006
84,12/13/2022 1:15,1781.56,Sell,100,1782.08,1782.08,12/13/2022 1:15,1782.08,-51.99999999999818,closed,45072.00000000006
85,12/13/2022 2:15,1781.29,Sell,100,1782.08,1782.08,12/13/2022 2:15,1782.08,-78.99999999999636,closed,44993.00000000006
86,12/13/2022 5:30,1783.14,Sell,100,1783.38,1783.38,12/13/2022 5:30,1783.38,-24.00000000000091,closed,44969.00000000006
87,12/13/2022 9:00,1787.44,emaBuy,100,1786.73,1786.73,12/13/2022 9:00,1786.73,-71.00000000000364,closed,44898.00000000006
88,12/13/2022 11:00,1784.42,Sell,100,1786.34,1786.34,12/13/2022 11:00,1786.34,-191.99999999998454,closed,44706.00000000007
89,12/14/2022 22:00,1812.12,Buy,100,1806.39,1806.39,12/14/2022 22:00,1806.39,-572.9999999999791,closed,44133.000000000095
90,12/14/2022 22:30,1808.83,Buy,100,1806.39,1806.39,12/14/2022 22:30,1806.39,-243.99999999998272,closed,43889.00000000012
91,12/15/2022 1:00,1807.57,Buy,100,1806.39,1806.39,12/15/2022 1:00,1806.39,-117.99999999998363,closed,43771.00000000013
92,12/15/2022 3:15,1802.79,emaSell,100,1794.45,1794.45,12/15/2022 3:15,1794.45,833.9999999999918,closed,44605.000000000124
93,12/15/2022 9:30,1790.68,Sell,100,1781.16,1781.16,12/15/2022 9:30,1781.16,951.9999999999982,closed,45557.000000000124
94,12/16/2022 16:45,1792.2,emaBuy,100,1792.14,1792.14,12/16/2022 16:45,1792.14,-5.999999999994543,closed,45551.00000000013
95,12/19/2022 2:30,1793.92,Buy,100,1792.12,1792.12,12/19/2022 2:30,1792.12,-180.0000000000182,closed,45371.00000000012
96,12/19/2022 17:30,1789.84,emaSell,100,1786.41,1786.41,12/19/2022 17:30,1786.41,342.99999999998363,closed,45714.000000000095
97,12/20/2022 8:00,1789.58,Buy,100,1804.7,1804.7,12/20/2022 8:00,1804.7,1512.0000000000118,closed,47226.0000000001
98,12/20/2022 15:45,1805.69,Buy,100,1815.6,1815.6,12/20/2022 15:45,1815.6,990.9999999999854,closed,48217.00000000009
99,12/20/2022 21:45,1818.66,Buy,100,1818.24,1818.24,12/20/2022 21:45,1818.24,-42.000000000007276,closed,48175.00000000008
100,12/21/2022 2:00,1818.42,Buy,100,1818.24,1818.24,12/21/2022 2:00,1818.24,-18.000000000006366,closed,48157.00000000007
101,12/21/2022 2:45,1818.1,Buy,100,1818.24,1818.24,12/21/2022 2:45,1818.24,14.000000000010004,closed,48171.00000000008
102,12/22/2022 4:45,1818.36,Buy,100,1819.37,1819.37,12/22/2022 4:45,1819.37,100.99999999999909,closed,48272.00000000008
103,12/22/2022 10:45,1817.96,Buy,100,1814.87,1814.87,12/22/2022 10:45,1814.87,-309.00000000001455,closed,47963.000000000065
104,12/23/2022 18:00,1802.63,emaBuy,100,1799.35,1799.35,12/23/2022 18:00,1799.35,-328.00000000002,closed,47635.000000000044
105,12/23/2022 21:30,1796.49,Sell,100,1797.72,1797.72,12/23/2022 21:30,1797.72,-123.00000000000182,closed,47512.000000000044
106,12/23/2022 22:15,1796.27,Sell,100,1797.72,1797.72,12/23/2022 22:15,1797.72,-145.00000000000455,closed,47367.000000000044
107,12/27/2022 2:00,1803.03,Buy,100,1810.01,1810.01,12/27/2022 2:00,1810.01,698.0000000000018,closed,48065.000000000044
108,12/27/2022 3:00,1803.02,Buy,100,1810.01,1810.01,12/27/2022 3:00,1810.01,699.0000000000009,closed,48764.000000000044
109,12/27/2022 3:30,1802.28,Buy,100,1810.01,1810.01,12/27/2022 3:30,1810.01,773.0000000000018,closed,49537.000000000044
